
--- 2026-04-22 04:40:17 ---
ACK:8

--- 2026-04-22 04:40:18 ---
[PROC_LIST]
PID:      0 | [System Process]
PID:      4 | System
PID:    272 | Registry
PID:    844 | smss.exe
PID:   1256 | csrss.exe
PID:   1404 | wininit.exe
PID:   1480 | services.exe
PID:   1500 | lsass.exe
PID:   1688 | svchost.exe
PID:   1732 | fontdrvhost.exe
PID:   1768 | WUDFHost.exe
PID:   1856 | svchost.exe
PID:   1924 | svchost.exe
PID:   1968 | WUDFHost.exe
PID:    828 | WUDFHost.exe
PID:   2180 | svchost.exe
PID:   2220 | svchost.exe
PID:   2368 | svchost.exe
PID:   2388 | svchost.exe
PID:   2400 | svchost.exe
PID:   2412 | svchost.exe
PID:   2480 | svchost.exe
PID:   2516 | svchost.exe
PID:   2544 | svchost.exe
PID:   2744 | svchost.exe
PID:   2752 | svchost.exe
PID:   2760 | svchost.exe
PID:   2776 | svchost.exe
PID:   2892 | IntelCpHDCPSvc.exe
PID:   2912 | svchost.exe
PID:   2940 | svchost.exe
PID:   3040 | svchost.exe
PID:   3128 | svchost.exe
PID:   3420 | svchost.exe
PID:   3692 | NVDisplay.Container.exe
PID:   3804 | AsusCertService.exe
PID:   3812 | svchost.exe
PID:   3896 | svchost.exe
PID:   3888 | svchost.exe
PID:   3904 | svchost.exe
PID:   3964 | svchost.exe
PID:   3972 | svchost.exe
PID:   4068 | Memory Compression
PID:   3564 | svchost.exe
PID:   3160 | svchost.exe
PID:   4020 | svchost.exe
PID:   4204 | svchost.exe
PID:   4400 | svchost.exe
PID:   4420 | svchost.exe
PID:   4468 | svchost.exe
PID:   4512 | svchost.exe
PID:   4692 | svchost.exe
PID:   4700 | svchost.exe
PID:   4744 | svchost.exe
PID:   4772 | svchost.exe
PID:   4780 | AsusOptimization.exe
PID:   4808 | svchost.exe
PID:   5024 | spoolsv.exe
PID:   5160 | audiodg.exe
PID:   5236 | svchost.exe
PID:   5440 | svchost.exe
PID:   5588 | svchost.exe
PID:   5636 | ArmouryCrateControlInterface.exe
PID:   5644 | agent_ovpnconnect_1633529985642.exe
PID:   5652 | ArmouryCrate.Service.exe
PID:   5660 | AsusSoftwareManager.exe
PID:   5668 | AsusPTPService.exe
PID:   5676 | AsusSwitch.exe
PID:   5692 | AsusAppService.exe
PID:   5716 | svchost.exe
PID:   5724 | AdobeUpdateService.exe
PID:   5768 | AsusSystemAnalysis.exe
PID:   5788 | AsusSystemDiagnosis.exe
PID:   5800 | mDNSResponder.exe
PID:   5820 | AuraWallpaperService.exe
PID:   5872 | CCleanerPerformanceOptimizerService.exe
PID:   5908 | DAX3API.exe
PID:   5920 | svchost.exe
PID:   5932 | svchost.exe
PID:   5940 | warp-svc.exe
PID:   5956 | ipfsvc.exe
PID:   5980 | svchost.exe
PID:   5996 | Everything.exe
PID:   6016 | svchost.exe
PID:   6024 | Everything64.exe
PID:   6084 | GameSDK.exe
PID:   5484 | GameInputSvc.exe
PID:   6196 | svchost.exe
PID:   6204 | OneApp.IGCC.WinService.exe
PID:   6244 | svchost.exe
PID:   6256 | IntelAudioService.exe
PID:   6284 | ipf_uf.exe
PID:   6336 | jhi_service.exe
PID:   6384 | LightingService.exe
PID:   6404 | svchost.exe
PID:   6412 | nvcontainer.exe
PID:   6420 | svchost.exe
PID:   6432 | ovpnhelper_service.exe
PID:   6440 | NLSvc.exe
PID:   6456 | svchost.exe
PID:   6464 | svchost.exe
PID:   6484 | MpDefenderCoreService.exe
PID:   6932 | svchost.exe
PID:   8124 | svchost.exe
PID:   5392 | svchost.exe
PID:   8544 | WmiPrvSE.exe
PID:   8596 | WmiPrvSE.exe
PID:  10356 | unsecapp.exe
PID:   9688 | svchost.exe
PID:  11748 | IntelGraphicsSoftware.Service.exe
PID:  10688 | wlanext.exe
PID:  12580 | svchost.exe
PID:  12636 | Intel_PIE_Service.exe
PID:   9684 | svchost.exe
PID:  11780 | svchost.exe
PID:   9876 | svchost.exe
PID:  13728 | svchost.exe
PID:  14004 | RtkAudUService64.exe
PID:  14020 | svchost.exe
PID:  14028 | svchost.exe
PID:  14048 | ROGLiveService.exe
PID:  14072 | PerceptionSimulationService.exe
PID:  14100 | ss_conn_service.exe
PID:  14108 | MSPCManagerService.exe
PID:  14116 | ss_conn_service2.exe
PID:  14124 | vpnclient_x64.exe
PID:  14132 | svchost.exe
PID:  14160 | vpnserver_x64.exe
PID:  14200 | svchost.exe
PID:  14224 | TieringEngineService.exe

